"Study_id","Distribution_in_group","n_group","n_infection","E_or","E_logor","E_se"
"Fernandez_2010",1.9,23,7,0.4375,-0.826678573184468,0.453163483587483
"Fernandez_2010",2.2,39,4,0.114285714285714,-2.16905370036952,0.527798662911748
"Georgopoulos 2005",4.86,48,21,0.777777777777778,-0.251314428280906,0.290957186981323
"Georgopoulos 2005",1.74,51,22,0.758620689655172,-0.276253376628158,0.28273185896753
"Georgopoulos 2005",1.77,49,26,1.1304347826087,0.122602322092332,0.286251287038336
"Hebert_1999",2.6,418,42,0.111702127659574,-2.19191952510653,0.162693264389184
"Hebert_1999",5.6,420,50,0.135135135135135,-2.00148000021012,0.150674160700177
"Leal-Noval_2013",0,214,14,0.07,-2.65926003693278,0.276457178290909
"Leal-Noval_2013",2,214,27,0.144385026737968,-1.93527175085026,0.205875279283174
"Michetti_2016",3,583,19,0.0336879432624113,-3.39061527233162,0.233247998046625
"Michetti_2016",2.5,455,5,0.0111111111111111,-4.49980967033027,0.449691252107735
"Pieracci 2014",0.145,75,44,1.41935483870968,0.350202429433115,0.234489524805271
"Pieracci 2014",0.0894,75,52,2.26086956521739,0.815749502652278,0.250417711235317
"Rachoin_2009",3.4,609,64,0.11743119266055,-2.14190271130357,0.132135772542189
"Rachoin_2009",0,1823,90,0.051933064050779,-2.95779961938534,0.108111725340593
"Robertson_2014",4.7,99,27,0.375,-0.980829253011726,0.22566773346211
"Robertson_2014",7.1,101,36,0.553846153846154,-0.590868331439527,0.207755609220048
"Schreiber_2015",4,85,26,0.440677966101695,-0.819440905884237,0.23539475568481
"Schreiber_2015",4,82,30,0.576923076923077,-0.550046336919272,0.229268625337403
"Schreiber_2015",2,86,28,0.482758620689655,-0.728238500371215,0.23012097910584
"Taylor_2006",3.7,428,61,0.166212534059946,-1.79448798388126,0.138268717587449
"Taylor_2006",0,1657,96,0.0614990390775144,-2.7887337290476,0.105153609814678
"Turgeon_2024",3,369,204,1.23636363636364,0.212174519943636,0.104702277171606
"Turgeon_2024",0,367,192,1.09714285714286,0.0927093981042675,0.104511334541374
"Yahia_2018",1.96,25,3,0.136363636363636,-1.99243016469021,0.615457454896664
"Yahia_2018",4.4,25,6,0.315789473684211,-1.15267950993839,0.468292905790847
