"Study_id","Distribution_in_group","n_group","n_infection","E_or","E_logor","E_se"
"Corwin 2002",3,652,16,0.0251572327044025,-3.68260984110034,0.253125121321502
"Corwin 2002",2.4,650,19,0.0301109350237718,-3.50286688337477,0.232844078733497
"Earley_2006",19.5,270,23,0.0931174089068826,-2.37389412069883,0.218006522529755
"Earley_2006",13.8,244,2,0.00826446280991736,-4.79579054559674,0.710022697809696
"English_2024",2,366,88,0.316546762589928,-1.15028429921243,0.122314180150114
"English_2024",0,366,98,0.365671641791045,-1.00601950184028,0.11804840073561
"George_2008",0,39,31,3.875,1.35454566280531,0.396557769456266
"George_2008",2.8,43,30,2.30769230769231,0.836248024200619,0.332048807039583
"Gobatto_2019",3.1,21,5,0.3125,-1.16315080980568,0.51234753829798
"Gobatto_2019",1.5,23,9,0.642857142857143,-0.441832752279039,0.427246629641104
"Hebert_1999",2.6,418,87,0.262839879154079,-1.33621025672248,0.12047987761372
"Hebert_1999",5.6,420,86,0.25748502994012,-1.35679369672319,0.120921126991077
"Piriyapatsom_2014",0,49,4,0.0888888888888889,-2.42036812865043,0.521749194749951
"Piriyapatsom_2014",4.6,239,64,0.365714285714286,-1.00590289056384,0.146079723830125
"Rachoin_2009",3.4,609,20,0.033955857385399,-3.3826939100976,0.227371486491314
"Rachoin_2009",0,1823,38,0.0212885154061625,-3.84958753448735,0.163939054417549
"Robertson_2014",4.7,99,13,0.151162790697674,-1.88939793879197,0.297575173527331
"Robertson_2014",7.1,101,20,0.246913580246914,-1.39871688111845,0.24969116726938
"Taylor_2006",3.7,428,31,0.0780856423173804,-2.54994907620204,0.186485806976795
"Taylor_2006",0,1657,57,0.035625,-3.33470764039332,0.134791912402498
"Turgeon_2024",3,369,130,0.543933054393305,-0.608929101475928,0.108978934252073
"Turgeon_2024",0,367,121,0.491869918699187,-0.709540990335622,0.111038297268662
"Xiao_2020",4.2,523,7,0.0135658914728682,-4.30019661642625,0.380519549239283
"Xiao_2020",4.27,729,20,0.0282087447108604,-3.56812325297814,0.226738698142913
"Yahia_2018",1.96,25,1,0.0416666666666667,-3.17805383034795,1.02062072615966
"Yahia_2018",4.4,25,1,0.0416666666666667,-3.17805383034795,1.02062072615966
"Zilberberg_2008",8.56,2912,2510,6.24378109452736,1.83158594350681,0.0537212114863088
"Zilberberg_2008",0,1432,1136,3.83783783783784,1.34490914495704,0.0652584099447667
