Study_id,Distribution_in_group,n_group,n_infection,E_or,E_logor,E_se
Corwin 2002,3,652,30,0.048231511,-3.031742711,0.186925253
Corwin 2002,2.4,650,31,0.050080775,-2.994118068,0.184047748
Corwin 2007,4.5,728,47,0.069016153,-2.673414704,0.150814537
Corwin 2007,4.3,720,50,0.074626866,-2.595254707,0.146603333
Earley_2006,19.5,270,23,0.093117409,-2.373894121,0.218006523
Earley_2006,13.8,244,2,0.008264463,-4.795790546,0.710022698
Fernandez_2010,1.9,23,7,0.4375,-0.826678573,0.453163484
Fernandez_2010,2.2,39,4,0.114285714,-2.1690537,0.527798663
George_2008,0,39,6,0.181818182,-1.704748092,0.443812682
George_2008,2.8,43,2,0.048780488,-3.020424886,0.724147943
Georgopoulos 2005,4.86,48,21,0.777777778,-0.251314428,0.290957187
Georgopoulos 2005,1.74,51,22,0.75862069,-0.276253377,0.282731859
Georgopoulos 2005,1.77,49,26,1.130434783,0.122602322,0.286251287
Gobatto_2019,3.1,21,5,0.3125,-1.16315081,0.512347538
Gobatto_2019,1.5,23,11,0.916666667,-0.087011377,0.417423555
Hebert_1999,2.6,418,41,0.108753316,-2.218673121,0.164446842
Hebert_1999,5.6,420,29,0.074168798,-2.60141173,0.192458576
Piriyapatsom_2014,0,49,4,0.088888889,-2.420368129,0.521749195
Piriyapatsom_2014,4.6,239,64,0.365714286,-1.005902891,0.146079724
Rachoin_2009,3.4,609,5,0.008278146,-4.794136286,0.44906083
Rachoin_2009,0,1823,9,0.004961411,-5.306065053,0.334159212
Robertson_2014,4.7,99,3,0.03125,-3.465735903,0.58630197
Robertson_2014,7.1,101,5,0.052083333,-2.954910279,0.458711965
Taylor_2006,3.7,428,22,0.054187192,-2.915310706,0.21890089
Taylor_2006,0,1657,25,0.015318627,-4.178685711,0.201526041
Xiao_2020,4.2,523,7,0.013565891,-4.300196616,0.380519549
Xiao_2020,4.27,729,20,0.028208745,-3.568123253,0.226738698
Yahia_2018,1.96,25,3,0.136363636,-1.992430165,0.615457455
Yahia_2018,4.4,25,6,0.315789474,-1.15267951,0.468292906
